#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Sporting,,Manuel Ugarte,29,13,5,0,6.83,6.83
2,Chelsea,,Enzo Fernández,27,10,5,0,7.19,7.19
3,Manchester City,,Manuel Akanji,27,9,18,0,7.13,7.13
4,Paris Saint-Germain,,Marco Verratti,27,6,0,1,7.04,7.04
5,Milan,,Theo Hernández,27,6,20,0,6.93,6.93
6,Manchester City,,Rúben Dias,26,7,25,0,7.41,7.41
7,Real Madrid,,Toni Kroos,26,9,2,0,7.37,7.37
8,Inter,,Henrikh Mkhitaryan,26,16,10,0,6.94,6.94
9,Benfica,,Florentino Luís,26,27,14,0,6.91,6.91
10,Milan,,Ismaël Bennacer,26,7,2,0,6.87,6.87
11,Real Madrid,,Eduardo Camavinga,26,6,6,0,6.69,6.69
12,Benfica,,Alejandro Grimaldo,25,13,15,0,7.33,7.33
13,Manchester City,,Rodri,24,13,9,0,7.40,7.40
14,Inter,,Nicolò Barella,23,2,9,0,6.98,6.98
15,Maccabi Haifa,,Neta Lavi,23,9,6,0,6.82,6.82
16,FC Bayern München,,Alphonso Davies,22,8,6,0,7.07,7.07
17,Milan,,Fikayo Tomori,22,10,27,0,6.60,6.60
18,Red Bull Salzburg,,Maurits Kjaergaard,21,4,2,0,6.98,6.98
19,Napoli,,Stanislav Lobotka,21,5,3,0,6.92,6.92
20,Inter,,Alessandro Bastoni,20,9,30,0,7.26,7.26
21,Inter,,Robin Gosens,20,5,8,0,6.85,6.85
22,Inter,,Matteo Darmian,20,19,25,0,6.78,6.78
23,Eintracht Frankfurt,,Kristijan Jakić,20,3,18,0,6.50,6.50
24,FC Bayern München,,Joshua Kimmich,19,20,7,0,7.77,7.77
25,Tottenham Hotspur,,Ivan Perišić,19,4,14,0,7.40,7.40
26,Liverpool,,Trent Alexander-Arnold,19,4,3,0,7.21,7.21
27,Manchester City,,Bernardo Silva,19,9,4,0,7.17,7.17
28,Red Bull Salzburg,,Nicolas Seiwald,19,8,5,0,7.13,7.13
29,Milan,,Sandro Tonali,19,4,8,0,7.08,7.08
30,Red Bull Salzburg,,Amar Dedić,19,9,16,1,6.80,6.80
31,Bayer 04 Leverkusen,,Piero Hincapié,19,6,14,0,6.80,6.80
32,Club Brugge KV,,Casper Nielsen,19,6,8,0,6.76,6.76
33,Eintracht Frankfurt,,Tuta,19,8,25,0,6.44,6.44
34,Napoli,,Giovanni Di Lorenzo,18,12,19,0,7.41,7.41
35,Real Madrid,,Federico Valverde,18,14,11,0,7.38,7.38
36,Celtic,,Matt O'Riley,18,11,4,0,7.05,7.05
37,Real Madrid,,Daniel Carvajal,18,7,15,0,6.95,6.95
38,Tottenham Hotspur,,Emerson Royal,18,3,11,0,6.94,6.94
39,Inter,,Marcelo Brozović,18,9,4,0,6.87,6.87
40,Shakhtar Donetsk,,Taras Stepanenko,18,12,21,0,6.70,6.70
41,Benfica,,Nicolás Otamendi,17,15,31,0,7.13,7.13
42,FC Porto,,Otávio,17,1,1,0,7.13,7.13
43,Eintracht Frankfurt,,Daichi Kamada,17,9,7,0,7.03,7.03
44,Milan,,Davide Calabria,17,15,12,0,6.97,6.97
45,Red Bull Salzburg,,Strahinja Pavlović,17,3,29,0,6.92,6.92
46,Milan,,Rade Krunić,17,7,8,0,6.69,6.69
47,FC Bayern München,,Daley Blind,17,4,8,1,6.40,6.40
48,Juventus,,Adrien Rabiot,16,5,3,0,7.28,7.28
49,FC Bayern München,,Leon Goretzka,16,7,7,0,7.18,7.18
50,RB Leipzig,,Mohamed Simakan,16,12,7,0,7.13,7.13
51,Inter,,Hakan Çalhanoğlu,16,8,6,0,7.10,7.10
52,Olympique de Marseille,,Jordan Veretout,16,2,5,0,7.10,7.10
53,Inter,,Lautaro Martínez,16,9,7,0,7.00,7.00
54,Borussia Dortmund,,Emre Can,16,13,6,0,6.90,6.90
55,Napoli,,Mathías Olivera,16,5,14,0,6.79,6.79
56,GNK Dinamo Zagreb,,Arijan Ademi,16,3,3,0,6.75,6.75
57,Liverpool,,Thiago Alcântara,15,7,0,0,7.28,7.28
58,Borussia Dortmund,,Jude Bellingham,15,13,8,0,7.23,7.23
59,Olympique de Marseille,,Valentin Rongier,15,8,4,0,7.07,7.07
60,Tottenham Hotspur,,Clément Lenglet,15,7,14,0,7.06,7.06
61,Milan,,Pierre Kalulu,15,7,15,0,6.91,6.91
62,AFC Ajax,,Edson Álvarez,15,11,17,0,6.88,6.88
63,Chelsea,,Wesley Fofana,15,4,7,0,6.84,6.84
64,FC København,,Victor Kristiansen,15,6,12,0,6.83,6.83
65,Tottenham Hotspur,,Pedro Porro,15,4,9,0,6.82,6.82
66,Chelsea,,Jorginho,14,11,6,0,7.47,7.47
67,Benfica,,Alexander Bah,14,17,9,0,7.21,7.21
68,Chelsea,,Reece James,14,7,8,0,7.18,7.18
69,Napoli,,Frank Anguissa,14,14,4,0,7.15,7.15
70,FC Porto,,Stephen Eustaquio,14,11,8,0,7.10,7.10
71,FC Bayern München,,João Cancelo,14,3,2,0,7.09,7.09
72,Olympique de Marseille,,Chancel Mbemba,14,4,6,0,7.02,7.02
73,FC Bayern München,,Dayot Upamecano,14,14,20,2,6.97,6.97
74,Eintracht Frankfurt,,Djibril Sow,14,18,3,0,6.88,6.88
75,AFC Ajax,,Calvin Bassey,14,7,22,0,6.83,6.83
76,Tottenham Hotspur,,Cristian Romero,14,10,12,0,6.83,6.83
77,FC Porto,,Pepê,14,5,10,0,6.75,6.75
78,Celtic,,Greg Taylor,14,7,6,0,6.63,6.63
79,Shakhtar Donetsk,,Artem Bondarenko,14,7,6,0,6.63,6.63
80,AFC Ajax,,Devyne Rensch,14,4,9,0,6.60,6.60
81,Borussia Dortmund,,Thomas Meunier,13,6,8,0,7.38,7.38
82,AFC Ajax,,Steven Berghuis,13,4,0,0,7.27,7.27
83,Chelsea,,Mason Mount,13,4,2,0,6.94,6.94
84,FC Bayern München,,Noussair Mazraoui,13,3,10,0,6.92,6.92
85,FC Porto,,Zaidu Sanusi,13,11,20,0,6.86,6.86
86,Benfica,,Fredrik Aursnes,13,5,7,0,6.85,6.85
87,Viktoria Plzeň,,Lukáš Kalvach,13,14,4,0,6.78,6.78
88,Liverpool,,Fabinho,13,9,5,0,6.74,6.74
89,RB Leipzig,,David Raum,13,7,9,0,6.70,6.70
90,Eintracht Frankfurt,,Evan Ndicka,13,13,27,0,6.68,6.68
91,FC København,,Kevin Diks,13,4,9,0,6.62,6.62
92,GNK Dinamo Zagreb,,Robert Ljubičić,13,10,6,0,6.50,6.50
93,Manchester City,,Nathan Aké,12,7,12,0,7.27,7.27
94,Benfica,,João Mário,12,5,7,0,7.23,7.23
95,Napoli,,Min-jae Kim,12,22,32,0,7.21,7.21
96,FC Bayern München,,Benjamin Pavard,12,13,20,0,7.13,7.13
97,Tottenham Hotspur,,Pierre-Emile Højbjerg,12,11,4,0,7.13,7.13
98,Chelsea,,Ben Chilwell,12,4,5,0,7.11,7.11
99,Chelsea,,Kalidou Koulibaly,12,8,20,0,7.09,7.09
100,Manchester City,,İlkay Gündoğan,12,7,6,0,7.08,7.08
101,Tottenham Hotspur,,Rodrigo Bentancur,12,5,3,0,7.07,7.07
102,Juventus,,Juan Cuadrado,12,8,3,0,7.05,7.05
103,Napoli,,Khvicha Kvaratskhelia,12,2,5,0,7.04,7.04
